id,path1,path2,finish,score
1,4,5,FALSE,100
4,8,10,FALSE,300
5,6,16,FALSE,100
6,22,114,FALSE,300
8,17,18,FALSE,300
10,20,21,FALSE,200
11,13,12,FALSE,500
12,66,78,FALSE,300
13,14,15,FALSE,200
14,nil,nil,TRUE,500
15,nil,nil,TRUE,200
16,25,24,FALSE,300
17,26,28,FALSE,300
18,29,30,FALSE,100
20,93,93,FALSE,300
21,33,35,FALSE,300
22,36,37,FALSE,200
24,40,38,FALSE,500
25,44,45,FALSE,300
26,46,47,FALSE,200
28,51,51,FALSE,500
29,52,53,FALSE,200
30,92,54,FALSE,300
31,nil,nil,TRUE,300
32,58,64,FALSE,100
33,68,79,FALSE,300
35,80,76,FALSE,300
36,11,11,FALSE,200
37,11,11,FALSE,500
38,87,81,FALSE,300
40,nil,nil,TRUE,200
44,nil,nil,TRUE,500
45,nil,nil,TRUE,200
46,nil,nil,TRUE,300
47,50,49,FALSE,300
49,25,25,FALSE,100
50,81,81,FALSE,300
51,nil,nil,TRUE,300
52,nil,nil,TRUE,200
53,nil,nil,TRUE,500
54,98,101,FALSE,300
56,57,60,FALSE,200
57,nil,nil,TRUE,500
58,63,62,FALSE,200
60,nil,nil,TRUE,300
61,36,37,FALSE,300
62,nil,nil,TRUE,100
63,nil,nil,TRUE,300
64,102,102,FALSE,300
66,nil,nil,TRUE,200
68,nil,nil,TRUE,500
74,nil,nil,TRUE,500
76,nil,nil,TRUE,200
78,nil,nil,TRUE,300
79,88,86,FALSE,300
80,nil,nil,TRUE,100
81,nil,nil,TRUE,300
82,nil,nil,TRUE,300
86,nil,nil,TRUE,500
87,nil,nil,TRUE,300
88,91,90,FALSE,200
90,nil,nil,TRUE,500
91,nil,nil,TRUE,200
92,56,56,FALSE,300
93,32,31,FALSE,300
98,nil,nil,TRUE,1000
101,nil,nil,TRUE,300
102,nil,nil,TRUE,300
104,107,107,FALSE,100
106,111,111,TRUE,300
107,nil,nil,TRUE,200
111,nil,nil,TRUE,500
114,61,61,FALSE,300
